label,start_s,end_s,duration_s,mean_pred_prob
Step2_PalmOverDorsum,0.000000,0.700000,0.700000,0.681847
No action,0.800000,2.900000,2.100000,0.000000
Step2_PalmOverDorsum,3.000000,5.600000,2.600000,0.899566
