label,start_s,end_s,duration_s,mean_pred_prob
No action,0.000000,0.800000,0.800000,0.000000
Step2_PalmOverDorsum,0.900000,4.900000,4.000000,0.838764
No action,5.000000,5.900000,0.900000,0.000000
Step2_PalmOverDorsum,6.000000,6.500000,0.500000,0.643738
No action,6.600000,6.700000,0.100000,0.000000
