label,start_s,end_s,duration_s,mean_pred_prob
Step2_PalmOverDorsum,0.000000,1.400000,1.400000,0.780525
No action,1.500000,1.500000,0.000000,0.000000
Step2_PalmOverDorsum,1.600000,2.400000,0.800000,0.635733
No action,2.500000,4.800000,2.300000,0.000000
Step2_PalmOverDorsum,4.900000,4.900000,0.000000,0.600344
No action,5.000000,5.200000,0.200000,0.000000
Step2_PalmOverDorsum,5.300000,6.100000,0.800000,0.734718
