label,start_s,end_s,duration_s,mean_pred_prob
No action,0.000000,1.300000,1.300000,0.000000
Step2_PalmOverDorsum,1.400000,4.300000,2.900000,0.742048
No action,4.400000,5.800000,1.400000,0.000000
