label,start_s,end_s,duration_s,mean_pred_prob
Step2_PalmOverDorsum,0.000000,1.900000,1.900000,0.735965
No action,2.000000,2.000000,0.000000,0.000000
Step2_PalmOverDorsum,2.100000,2.600000,0.500000,0.636171
No action,2.700000,2.700000,0.000000,0.000000
Step2_PalmOverDorsum,2.800000,2.800000,0.000000,0.606427
No action,2.900000,4.900000,2.000000,0.000000
Step2_PalmOverDorsum,5.000000,7.200000,2.200000,0.660531
No action,7.300000,8.600000,1.300000,0.000000
Step2_PalmOverDorsum,8.700000,12.300000,3.600000,0.810616
