label,start_s,end_s,duration_s,mean_pred_prob
No action,0.000000,1.400000,1.400000,0.000000
Step2_PalmOverDorsum,1.500000,2.300000,0.800000,0.717349
No action,2.400000,5.500000,3.100000,0.000000
