label,start_s,end_s,duration_s,mean_pred_prob
No action,0.000000,0.900000,0.900000,0.000000
Step2_PalmOverDorsum,1.000000,1.000000,0.000000,0.605076
No action,1.100000,4.700000,3.600000,0.000000
Step2_PalmOverDorsum,4.800000,4.800000,0.000000,0.622494
