label,start_s,end_s,duration_s,mean_pred_prob
No action,0.000000,1.000000,1.000000,0.000000
Step2_PalmOverDorsum,1.100000,1.800000,0.700000,0.720711
No action,1.900000,2.600000,0.700000,0.000000
