label,start_s,end_s,duration_s,mean_confidence
Other,0.000000,0.300000,0.300000,0.287438
Step5_ThumbRub,0.400000,0.600000,0.200000,0.282740
Step2_PalmOverDorsum,0.700000,4.900000,4.200000,0.653290
Step4_BackOfFingers,5.000000,5.800000,0.800000,0.464452
