label,start_s,end_s,duration_s,mean_confidence
Other,0.000000,0.600000,0.600000,0.460081
Step2_PalmOverDorsum,0.700000,2.300000,1.600000,0.565345
Step5_ThumbRub,2.400000,2.400000,0.000000,0.304343
Step4_BackOfFingers,2.500000,2.600000,0.100000,0.327078
