label,start_s,end_s,duration_s,mean_confidence
Step2_PalmOverDorsum,0.000000,1.000000,1.000000,0.433835
Other,1.100000,1.200000,0.100000,0.350225
Step2_PalmOverDorsum,1.300000,4.200000,2.900000,0.622364
