label,start_s,end_s,duration_s,mean_confidence
Step2_PalmOverDorsum,0.000000,1.200000,1.200000,0.378692
Step4_BackOfFingers,1.300000,2.800000,1.500000,0.329830
Step2_PalmOverDorsum,2.900000,3.800000,0.900000,0.323102
Step4_BackOfFingers,3.900000,7.900000,4.000000,0.341060
Other,8.000000,8.400000,0.400000,0.268930
Step2_PalmOverDorsum,8.500000,10.600000,2.100000,0.503249
Other,10.700000,10.800000,0.100000,0.249895
Step4_BackOfFingers,10.900000,12.800000,1.900001,0.415189
Step2_PalmOverDorsum,12.900000,14.300000,1.400001,0.571299
Step4_BackOfFingers,14.400000,15.800000,1.400001,0.585138
Other,15.900000,16.299999,0.400000,0.354013
Step2_PalmOverDorsum,16.400000,17.299999,0.900000,0.505201
