label,start_s,end_s,duration_s,mean_confidence
Step4_BackOfFingers,0.000000,0.900000,0.900000,0.455864
Step2_PalmOverDorsum,1.000000,1.100000,0.100000,0.365336
Step4_BackOfFingers,1.200000,1.700000,0.500000,0.348047
Step5_ThumbRub,1.800000,3.200000,1.400000,0.357592
Step2_PalmOverDorsum,3.300000,4.600000,1.300000,0.381810
Step5_ThumbRub,4.700000,5.500000,0.800000,0.360650
Step2_PalmOverDorsum,5.600000,7.200000,1.600000,0.315684
Step5_ThumbRub,7.300000,8.400000,1.099999,0.311014
Step2_PalmOverDorsum,8.500000,9.500000,1.000000,0.456846
