label,start_s,end_s,duration_s,mean_confidence
Step2_PalmOverDorsum,0.000000,6.700000,6.700000,0.589990
Step4_BackOfFingers,6.800000,11.800000,5.000000,0.512993
Step2_PalmOverDorsum,11.900000,12.500000,0.600000,0.483007
Step4_BackOfFingers,12.600000,14.700000,2.099999,0.586179
Step2_PalmOverDorsum,14.800000,15.300000,0.500000,0.367374
Step4_BackOfFingers,15.400000,19.000000,3.600000,0.606555
Step2_PalmOverDorsum,19.100000,19.600000,0.500000,0.420069
Step4_BackOfFingers,19.700001,20.200001,0.500000,0.401802
Step2_PalmOverDorsum,20.299999,20.900000,0.600000,0.362240
Step4_BackOfFingers,21.000000,23.700001,2.700001,0.400926
Step2_PalmOverDorsum,23.799999,23.799999,0.000000,0.340536
