label,start_s,end_s,duration_s,mean_confidence
Step4_BackOfFingers,0.000000,4.400000,4.400000,0.548600
Step2_PalmOverDorsum,4.500000,5.800000,1.300000,0.518532
Step4_BackOfFingers,5.900000,6.800000,0.900000,0.470430
Step2_PalmOverDorsum,6.900000,7.900000,1.000000,0.404442
Step4_BackOfFingers,8.000000,10.000000,2.000000,0.555793
Step2_PalmOverDorsum,10.100000,11.400000,1.299999,0.586825
Step4_BackOfFingers,11.500000,13.800000,2.300000,0.609584
Step2_PalmOverDorsum,13.900000,15.900000,2.000000,0.644335
Step4_BackOfFingers,16.000000,17.200001,1.200001,0.468950
Step2_PalmOverDorsum,17.299999,19.100000,1.800001,0.674287
