label,start_s,end_s,duration_s,mean_confidence
Step4_BackOfFingers,0.000000,0.000000,0.000000,0.369848
Step5_ThumbRub,0.100000,0.800000,0.700000,0.365303
Step4_BackOfFingers,0.900000,2.800000,1.900000,0.526664
Step5_ThumbRub,2.900000,3.200000,0.300000,0.368027
Step2_PalmOverDorsum,3.300000,5.100000,1.800000,0.497904
Step4_BackOfFingers,5.200000,6.600000,1.400000,0.511468
Step2_PalmOverDorsum,6.700000,27.600000,20.900001,0.642792
Step4_BackOfFingers,27.700001,28.700001,1.000000,0.477616
