label,start_s,end_s,duration_s,mean_confidence
Step2_PalmOverDorsum,0.000000,0.400000,0.400000,0.339324
Step4_BackOfFingers,0.500000,0.500000,0.000000,0.276951
Step5_ThumbRub,0.600000,0.900000,0.300000,0.295577
Step4_BackOfFingers,1.000000,5.700000,4.700000,0.476051
Step2_PalmOverDorsum,5.800000,6.800000,1.000000,0.493571
Step4_BackOfFingers,6.900000,8.300000,1.400000,0.602375
Step2_PalmOverDorsum,8.400000,8.900000,0.500000,0.336816
Step4_BackOfFingers,9.000000,10.100000,1.100000,0.474996
