label,start_s,end_s,duration_s,mean_confidence
Step4_BackOfFingers,0.000000,0.400000,0.400000,0.355790
Step2_PalmOverDorsum,0.500000,0.600000,0.100000,0.324686
Step5_ThumbRub,0.700000,0.800000,0.100000,0.325402
Step4_BackOfFingers,0.900000,2.800000,1.900000,0.553081
Step2_PalmOverDorsum,2.900000,3.700000,0.800000,0.458660
Step4_BackOfFingers,3.800000,7.500000,3.700000,0.592200
Step5_ThumbRub,7.600000,9.000000,1.400000,0.519061
Step4_BackOfFingers,9.100000,12.800000,3.700000,0.511162
Step2_PalmOverDorsum,12.900000,15.100000,2.200001,0.498155
