label,start_s,end_s,duration_s,mean_pred_prob
No action,0.000000,2.000000,2.000000,0.000000
Step2_PalmOverDorsum,2.200000,2.400000,0.200000,0.640860
No action,2.600000,3.000000,0.400000,0.000000
Step2_PalmOverDorsum,3.200000,3.400000,0.200000,0.626187
No action,3.600000,8.800000,5.200000,0.000000
Step2_PalmOverDorsum,9.000000,9.000000,0.000000,0.641483
