label,start_s,end_s,duration_s,mean_pred_prob
Step2_PalmOverDorsum,0.000000,2.600000,2.600000,0.657164
No action,2.800000,4.200000,1.400000,0.000000
Step2_PalmOverDorsum,4.400000,6.600000,2.200000,0.630877
No action,6.800000,6.800000,0.000000,0.000000
Step2_PalmOverDorsum,7.000000,7.800000,0.800000,0.632471
