label,start_s,end_s,duration_s,mean_pred_prob
No action,0.000000,1.000000,1.000000,0.000000
Step2_PalmOverDorsum,1.200000,2.200000,1.000000,0.624826
No action,2.400000,5.000000,2.600000,0.000000
Step2_PalmOverDorsum,5.200000,11.000000,5.800000,0.816288
No action,11.200000,16.600000,5.400001,0.000000
