label,start_s,end_s,duration_s,mean_pred_prob
Step2_PalmOverDorsum,0.000000,0.800000,0.800000,0.639495
No action,1.000000,9.400000,8.400000,0.000000
Step2_PalmOverDorsum,9.600000,12.600000,3.000000,0.687021
No action,12.800000,14.400000,1.599999,0.000000
Step2_PalmOverDorsum,14.600000,14.800000,0.200000,0.603569
