label,start_s,end_s,duration_s,mean_pred_prob
No action,0.000000,3.600000,3.600000,0.000000
Step2_PalmOverDorsum,3.800000,10.600000,6.800000,0.759243
No action,10.800000,11.000000,0.200000,0.000000
Step2_PalmOverDorsum,11.200000,19.000000,7.800000,0.802983
No action,19.200001,20.799999,1.599998,0.000000
Step2_PalmOverDorsum,21.000000,21.799999,0.799999,0.628932
