label,start_s,end_s,duration_s,mean_pred_prob
No action,0.000000,2.200000,2.200000,0.000000
Step2_PalmOverDorsum,2.400000,5.200000,2.800000,0.646154
No action,5.400000,8.600000,3.200000,0.000000
