label,start_s,end_s,duration_s,mean_pred_prob
Step2_PalmOverDorsum,0.000000,1.200000,1.200000,0.749884
No action,1.400000,3.600000,2.200000,0.000000
Step2_PalmOverDorsum,3.800000,5.400000,1.600000,0.681505
No action,5.600000,7.000000,1.400000,0.000000
Step2_PalmOverDorsum,7.200000,10.600000,3.400001,0.695166
