label,start_s,end_s,duration_s,mean_pred_prob
No action,0.000000,2.800000,2.800000,0.000000
Step2_PalmOverDorsum,3.000000,3.800000,0.800000,0.644482
No action,4.000000,5.400000,1.400000,0.000000
Step2_PalmOverDorsum,5.600000,13.000000,7.400000,0.797595
No action,13.200000,18.799999,5.599999,0.000000
