label,start_s,end_s,duration_s,mean_pred_prob
Step2_PalmOverDorsum,0.000000,1.800000,1.800000,0.807537
No action,2.000000,2.200000,0.200000,0.000000
Step2_PalmOverDorsum,2.400000,2.400000,0.000000,0.606057
No action,2.600000,2.600000,0.000000,0.000000
Step2_PalmOverDorsum,2.800000,9.000000,6.200000,0.706709
